CAPEX CODE,CAPEX SCENARIO,BASE LATERAL LENGTH (FT),TARGET,FRAC SIZE,Capex - Permit + Landowner ($k),Capex - Build / Extend Pad ($k),Capex - Cellar / Mousehole ($k),Capex - Well Spud + Drilling ($k),Capex - Rig Low / Prep Loc ($k),Capex - Frac Well ($k),Capex - Drillout + Tube up ($k),Capex - Flowback ($k),Capex - Facilities ($k),Capex - Drilling ($k),Capex - Completion ($k),Capex - Total ($k),Capex - Increm Drilling ($/ft),Capex - Increm Completion ($/ft),Pay Delay - Permit + Landowner (days),Pay Delay - Build / Extend Pad (days),Pay Delay - Cellar / Mousehole (days),Pay Delay - Well Spud + Drilling (days),Pay Delay - Rig Low / Prep Loc (days),Pay Delay - Frac Well (days),Pay Delay - Drillout + Tube up (days),Pay Delay - Flowback (days),Pay Delay - Facilities (days)
1,GENERIC - FARMAR 7.5K,7500,GENERIC,2050,20,104,32,989,0,1641.514538,208.8973826,211.7223294,640,1145,2062.13425,3847.13425,26.92,242.28,45,45,45,45,45,45,45,45,45
2,B1 - FARMAR 7.5K,7500,B1,2050,20,104,32,894,0,1659.380288,208.8973826,211.7223294,640,1050,2080,3770,25.64,230.76,45,45,45,45,45,45,45,45,45
3,B3 - FARMAR 7.5K,7500,B3,2050,20,104,32,1084,0,1623.648788,208.8973826,211.7223294,640,1240,2044.2685,3924.2685,28.2,253.8,45,45,45,45,45,45,45,45,45
4,GENERIC - FARMAR 10K,10000,GENERIC,2050,20,104,32,1099,0,2244.380288,208.8973826,211.7223294,640,1255,2665,4560,26.92,242.28,45,45,45,45,45,45,45,45,45
5,B1 - FARMAR 10K,10000,B1,2050,20,104,32,964,0,2219.380288,208.8973826,211.7223294,640,1120,2640,4400,25.64,230.76,45,45,45,45,45,45,45,45,45
6,B3 - FARMAR 10K,10000,B3,2050,20,104,32,1234,0,2269.380288,208.8973826,211.7223294,640,1390,2690,4720,28.2,253.8,45,45,45,45,45,45,45,45,45
7,GENERIC - GANADOR,10000,GENERIC,2050,20,104,32,1234,0,2269.380288,208.8973826,211.7223294,640,1390,2690,4720,28.2,253.8,45,45,45,45,45,45,45,45,45
8,GENERIC - MUNSON,8000,GENERIC,2050,20,104,32,969,0,1794.380288,208.8973826,211.7223294,640,1125,2215,3980,24.1,216.9,45,45,45,45,45,45,45,45,45
9,GENERIC - MUNSON 7.5K,7500,GENERIC,2050,20,104,32,934,0,1549.380288,208.8973826,211.7223294,640,1090,1970,3700,25.64,230.76,45,45,45,45,45,45,45,45,45
10,GENERIC - MUNSON 10K,10000,GENERIC,2050,20,104,32,1004,0,2039.380288,208.8973826,211.7223294,640,1160,2460,4260,22.56,203.04,45,45,45,45,45,45,45,45,45
11,GENERIC - DISCOVERY,10000,GENERIC,2050,20,104,32,1610.278176,0,2109.974155,208.8973826,211.7223294,290.005,1766.278176,2530.593867,4586.877043,22.1,198.9,45,45,45,45,45,45,45,45,45
12,GENERIC - ESTE,8500,GENERIC,2050,20,104,32,1617.365531,0,1847.368548,208.8973826,211.7223294,642.05,1773.365531,2267.98826,4683.403791,22.1,198.9,45,45,45,45,45,45,45,45,45
13,GENERIC - TRACKER,10000,GENERIC,2050,20,104,32,956.335,0,2188.973288,208.8973826,211.7223294,640,1112.335,2609.593,4361.928,24.3,218.7,45,45,45,45,45,45,45,45,45
14,GENERIC - TRACKER (TCR FRAC),10000,GENERIC,2050,20,104,32,956.335,0,1896.112288,208.8973826,211.7223294,640,1112.335,2316.732,4069.067,22.1,198.9,45,45,45,45,45,45,45,45,45
15,GENERIC - AMCO,10000,GENERIC,2050,20,104,32,1144.695,0,2224.138288,208.8973826,211.7223294,640,1300.695,2644.758,4585.453,26.1,234.9,45,45,45,45,45,45,45,45,45
16,AM - HIGH B3_10k,10000,GENERIC,2050,20,104,32,1144.695,0,2224.138288,208.8973826,211.7223294,640,1300.695,2644.758,4585.453,26.1,234.9,45,45,45,45,45,45,45,45,45
17,AM - LOW B3 Risk70,7500,GENERIC,2050,20,104,32,1079.445,0,1636.888288,208.8973826,211.7223294,640,1235.445,2057.508,3932.953,26.1,234.9,45,45,45,45,45,45,45,45,45
18,AM - MED B3 Risk90_8750,8750,GENERIC,2050,20,104,32,1112.07,0,1930.513288,208.8973826,211.7223294,640,1268.07,2351.133,4259.203,26.1,234.9,45,45,45,45,45,45,45,45,45
19,WANORECK A PU N131HM,10100,GENERIC,2050,20,104,32,1701.17,0,3140.146423,210.75,213.6,375,1857.17,3564.496423,5796.666423,28.2,253.8,45,45,45,45,45,45,45,45,45
20,WANORECK B PU N133HM,10100,GENERIC,2050,20,104,32,1654.14125,0,3143.846423,210.75,213.6,375,1810.14125,3568.196423,5753.337673,28.2,253.8,45,45,45,45,45,45,45,45,45
21,WANORECK B PU N134HM,10100,GENERIC,2050,20,104,32,1631.14125,0,3137.076388,210.75,213.6,375,1787.14125,3561.426388,5723.567638,28.2,253.8,45,45,45,45,45,45,45,45,45
22,HALCOMB A S271HU,10300,GENERIC,2050,0,0,0,0,0,0,0,0,0,0,0,0,28.2,253.8,45,45,45,45,45,45,45,45,45
23,HALCOMB A S288HM,8900,GENERIC,2050,0,0,0,0,0,0,0,0,0,0,0,0,28.2,253.8,45,45,45,45,45,45,45,45,45
24,HALCOMB A S287HU,8900,GENERIC,2050,0,0,0,0,0,539.19389,0,0,79.551,0,539.19389,618.74489,28.2,253.8,45,45,45,45,45,45,45,45,45
25,HALCOMB A S286HD,8900,GENERIC,2050,0,0,0,0,0,0,0,0,0,0,0,0,28.2,253.8,45,45,45,45,45,45,45,45,45
26,HALCOMB A S273HU,10300,GENERIC,2050,0,0,0,0,0,1194.31462,0,0,79.551,0,1194.31462,1273.86562,28.2,253.8,45,45,45,45,45,45,45,45,45
27,HALCOMB A S274HM,10300,GENERIC,2050,0,0,0,0,0,918.39782,0,0,79.551,0,918.39782,997.94882,28.2,253.8,45,45,45,45,45,45,45,45,45
28,HALCOMB A S274HA,10300,GENERIC,2050,0,0,0,0,0,1080.66203,0,0,79.551,0,1080.66203,1160.21303,28.2,253.8,45,45,45,45,45,45,45,45,45
29,MUNSON C S284HM,8000,GENERIC,2050,20,104,32,1147.249,0,1887.677,210.75,213.6,333.3333333,1303.249,2312.027,3948.609333,24.1,216.9,45,45,45,45,45,45,45,45,45
30,MUNSON C S285HU,8000,GENERIC,2050,20,104,32,959.938,0,1887.677,210.75,213.6,333.3333333,1115.938,2312.027,3761.298333,24.1,216.9,45,45,45,45,45,45,45,45,45
31,MUNSON C S286HM,8000,GENERIC,2050,20,104,32,1147.249,0,1887.677,210.75,213.6,333.3333333,1303.249,2312.027,3948.609333,24.1,216.9,45,45,45,45,45,45,45,45,45
32,FARMAR DD S548HM,9400,B3,2050,0,0,0,0,0,2258.361,210.75,213.6,675,0,2682.711,3357.711,28.2,253.8,45,45,45,45,45,45,45,45,45
33,FARMAR DC S545HM,9400,B3,2050,20,104,32,1254.132,0,2258.361,210.75,213.6,675,1410.132,2682.711,4767.843,28.2,253.8,45,45,45,45,45,45,45,45,45
34,FARMAR DB S544HU,9400,B1,2050,20,104,32,922.924,0,2213.906,210.75,213.6,675,1078.924,2638.256,4392.18,28.2,253.8,45,45,45,45,45,45,45,45,45
35,FARMAR DA S541HM,9400,B3,2050,20,104,32,1254.132,0,2258.361,210.75,213.6,675,1410.132,2682.711,4767.843,28.2,253.8,45,45,45,45,45,45,45,45,45
36,FARMAR CC PU N734HU,7600,B1,2050,20,104,32,829.313,0,1844.889,210.75,213.6,325,985.313,2269.239,3579.552,28.2,253.8,45,45,45,45,45,45,45,45,45
37,FARMAR CC PU N735HM,7600,B3,2050,20,104,32,1094.476,0,1858.122,210.75,213.6,325,1250.476,2282.472,3857.948,28.2,253.8,45,45,45,45,45,45,45,45,45
38,FARMAR CD PU N738HU,7600,B1,2050,20,104,32,829.313,0,1844.889,210.75,213.6,325,985.313,2269.239,3579.552,28.2,253.8,45,45,45,45,45,45,45,45,45
39,FARMAR CB PU N731HM,7600,B3,2050,20,104,32,829.313,0,1844.889,210.75,213.6,325,985.313,2269.239,3579.552,28.2,253.8,45,45,45,45,45,45,45,45,45
40,MUNSON C 2001H,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
41,Foreland I DUC 1,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
42,Foreland I DUC 2,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
43,Foreland I DUC 3,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
44,Foreland I DUC 4,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
45,Foreland I DUC 5,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
46,Foreland I DUC 6,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
47,Foreland I DUC 7,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
48,Foreland I DUC 8,10000,GENERIC,2050,0,0,0,0,0,1689.866,210.75,213.6,0,0,2114.216,2114.216,24.1,216.9,45,45,45,45,45,45,45,45,45
